Model and feature tuning leaderboard (score_f_name=LOGLOSS):
+-------------+--------------+-----------+-----------------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+---------------------+--------------------+-------------------+---------------------------------------------------------------+----------------------------+----------------+----------+----------+-------------+---------------+-----------------+----------------+-------------+--------------+--------------------+----------------+----------+-------------+---------------+---------------------+-----------------------+--------------------+---------------------+-------------------+-----------------------+----------------+--------------+----------+-----------------+-------------+--------------------+--------------+---------------------+----------+--------+
|   job order | job status   | booster   | boosting_type   |   colsample_bytree | debug_verbose   |   early_stopping_rounds | early_stopping_threshold   | eval_metric   |   gamma |   gpu_id | grow_policy   |   learning_rate |   max_bin |   max_delta_step |   max_depth |   max_leaves | min_child_samples   |   min_child_weight | min_data_in_bin   | model_origin                                                  | monotonicity_constraints   |   n_estimators |   n_gpus |   n_jobs |   num_class |   num_classes | objective       |   random_state |   reg_alpha |   reg_lambda |   scale_pos_weight | score_f_name   | silent   |   subsample | tree_method   | scores              | scores_sd             | training_times     | rel_time            |   best_iterations |   rel_best_iterations |   ngenes_start |   ngenes_max | ngenes   |   nfeatures_max |   nfeatures | rel_scores         |   complexity | z-score             | isbest   | good   |
|          16 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4344060949509964  | 0.006179636292670364  | 0.6958417892456055 | 0.36524998388734764 |                32 |              0.592593 |             31 |    100000000 | 61.0     |       100000000 |          70 | 0.9942947474050983 |     3187.6   | 0.3922316350499169  |          |        |
|          11 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4345323221178727  | 0.005934271308520616  | 0.5425863265991211 | 0.28480561258426274 |                31 |              0.574074 |             31 |    100000000 | 42.0     |       100000000 |          48 | 0.9940059150153852 |     2126.16  | 0.41220837728724335 |          |        |
|          21 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.43460339327249664 | 0.006353974253798925  | 0.9912052154541016 | 0.5202873621116769  |                29 |              0.537037 |             31 |    100000000 | 97.0     |       100000000 |         115 | 0.9938433641720721 |     4593.61  | 0.4234561155639304  |          |        |
|          23 | PASSED       | gbtree    |                 |                0.8 | 0               |                      10 | 0.0001                     | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 |                     |                  1 |                   | SEQUENCE                                                      | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.43488500509485584 | 0.004939401610173232  | 1.1731593608856201 | 0.6157957804249106  |                34 |              0.62963  |             31 |        22488 | 97.0     |           22488 |         114 | 0.9931997962457346 |     5385.61  | 0.4680240713017616  |          |        |
|          17 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.4351856952741741  | 0.004856667201607563  | 0.590057373046875  | 0.3097233441981623  |                24 |              0.444444 |             22 |    100000000 | 53.0     |       100000000 |          53 | 0.9925135479887836 |     2077.17  | 0.5156113724682738  |          |        |
|          13 | PASSED       | gbtree    |                 |                0.8 | 0               |                      10 | 0.0001                     | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 |                     |                  1 |                   | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.43533118594717224 | 0.006148168719911579  | 1.0987935066223145 | 0.5767608625869219  |                40 |              0.740741 |             31 |        22488 | 43.0     |           22488 |          45 | 0.9921818431426387 |     2808.75  | 0.538636761885971   |          |        |
|           0 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |          10 |            0 | 1                   |                  1 | 1                 | DefaultIndiv: do_te:False,interp:11,depth:10,num_as_cat:False | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.43559316250197594 | 0.004688795295478392  | 0.8505330085754395 | 0.4464479892974443  |                23 |              0.425926 |             22 |    100000000 | 22.0     |       100000000 |          22 | 0.9915851203210214 |     2963.17  | 0.5800972353882105  |          |        |
|          22 | PASSED       | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      | 0.43583261217232805 | 0.006415675295133854  | 0.9171702861785889 | 0.4814261480499308  |                29 |              0.537037 |             31 |    100000000 | 84.0     |       100000000 |         104 | 0.991040336099842  |     3977.97  | 0.6179925986591431  |          |        |
|           2 | REDUNDANT    | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |          10 |            0 | 1                   |                  1 | 1                 | DefaultIndiv: do_te:False,interp:6,depth:10,num_as_cat:False  | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      |                     |                       |                    |                     |                 0 |              0        |             22 |    100000000 |          |       100000000 |           0 |                    |        1e-07 |                     |          |        |
|           3 | REDUNDANT    | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | DefaultIndiv: do_te:False,interp:6,depth:6,num_as_cat:False   | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      |                     |                       |                    |                     |                 0 |              0        |             22 |    100000000 |          |       100000000 |           0 |                    |        1e-07 |                     |          |        |
|           4 | REDUNDANT    | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |          10 |            0 | 1                   |                  1 | 1                 | DefaultIndiv: do_te:True,interp:11,depth:10,num_as_cat:False  | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      |                     |                       |                    |                     |                 0 |              0        |             22 |    100000000 |          |       100000000 |           0 |                    |        1e-07 |                     |          |        |
|           5 | REDUNDANT    | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | DefaultIndiv: do_te:True,interp:11,depth:6,num_as_cat:False   | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      |                     |                       |                    |                     |                 0 |              0        |             22 |    100000000 |          |       100000000 |           0 |                    |        1e-07 |                     |          |        |
|           6 | REDUNDANT    | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |          10 |            0 | 1                   |                  1 | 1                 | DefaultIndiv: do_te:True,interp:6,depth:10,num_as_cat:False   | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      |                     |                       |                    |                     |                 0 |              0        |             22 |    100000000 |          |       100000000 |           0 |                    |        1e-07 |                     |          |        |
|           7 | REDUNDANT    | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | DefaultIndiv: do_te:True,interp:6,depth:6,num_as_cat:False    | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      |                     |                       |                    |                     |                 0 |              0        |             22 |    100000000 |          |       100000000 |           0 |                    |        1e-07 |                     |          |        |
|           8 | REDUNDANT    | lightgbm  | gbdt            |                0.8 |                 |                      10 |                            | logloss       |       0 |        0 | depthwise     |             0.1 |       256 |                0 |           6 |            0 | 1                   |                  1 | 1                 | RANDOM                                                        | False                      |            600 |        1 |       32 |           1 |             2 | binary:logistic |       43992824 |           0 |            1 |                  1 | LOGLOSS        | True     |         0.7 | gpu_hist      |                     |                       |                    |                     |                 0 |              0        |             22 |    100000000 |          |       100000000 |           0 |                    |        1e-07 |                     |          |        |
+-------------+--------------+-----------+-----------------+--------------------+-----------------+-------------------------+----------------------------+---------------+---------+----------+---------------+-----------------+-----------+------------------+-------------+--------------+---------------------+--------------------+-------------------+---------------------------------------------------------------+----------------------------+----------------+----------+----------+-------------+---------------+-----------------+----------------+-------------+--------------+--------------------+----------------+----------+-------------+---------------+---------------------+-----------------------+--------------------+---------------------+-------------------+-----------------------+----------------+--------------+----------+-----------------+-------------+--------------------+--------------+---------------------+----------+--------+
