Relative Importance,Standard Deviation of Relative Importance,Original Feature
1,0,PAY_0
0.29798,0,PAY_2
0.13217,0,LIMIT_BAL
0.12385,0,BILL_AMT1
0.11445,0,PAY_AMT3
0.10901,0,PAY_AMT2
0.093161,0,PAY_AMT1
0.076836,0,AGE
0.070203,0,PAY_3
0.068659,0,PAY_AMT4
0.068123,0,BILL_AMT2
0.06508,0,PAY_AMT6
0.063461,0,PAY_AMT5
0.049799,0,BILL_AMT6
0.04939,0,BILL_AMT5
0.048635,0,PAY_5
0.047752,0,PAY_4
0.047515,0,BILL_AMT4
0.047087,0,BILL_AMT3
0.040182,0,PAY_6
0.01474,0,EDUCATION
0.0081547,0,MARRIAGE
