+----+------------+------------+------------+------------------+--------------------+----------+------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------+------------------+-------------------+----------------+--------------+----------+---------------+-----------------+-------------+--------------+---------------------------+-----------+----------+----------+----------+----------------+---------------+-------------+----------------+----------------+-----------------+-------------+--------------+---------+-----------+--------------------+------------------+--------------------+-------------+--------------------+---------------+---------------+--------------+-------------+-------------------+---------------------+-----------------+-------------------------+-----------------+---------------+----------------------------+----------+---------------------------------------------------------------+----------------------------+-----------------+
|    |   indiv_id |   iter_num |   accuracy |   time_tolerance |   interpretability |    score |   score_sd | top derived_features                                                                                                                                                                             | top original_features                                                                                   |   training_times |   best_iterations |   ngenes_start |   ngenes_max |   ngenes |   ngenes_dead |   nfeatures_max |   nfeatures | model_name   | target_transformer_name   | booster   |   n_gpus |   gpu_id |   n_jobs |   n_estimators |   num_classes |   num_class | score_f_name   |   random_state |   learning_rate |   reg_alpha |   reg_lambda |   gamma |   max_bin |   scale_pos_weight |   max_delta_step |   min_child_weight |   subsample |   colsample_bytree | tree_method   | grow_policy   |   max_leaves |   max_depth | min_data_in_bin   | min_child_samples   | boosting_type   |   early_stopping_rounds | objective       | eval_metric   | monotonicity_constraints   | silent   | model_origin                                                  | early_stopping_threshold   | debug_verbose   |
|----+------------+------------+------------+------------------+--------------------+----------+------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------+------------------+-------------------+----------------+--------------+----------+---------------+-----------------+-------------+--------------+---------------------------+-----------+----------+----------+----------+----------------+---------------+-------------+----------------+----------------+-----------------+-------------+--------------+---------+-----------+--------------------+------------------+--------------------+-------------+--------------------+---------------+---------------+--------------+-------------+-------------------+---------------------+-----------------+-------------------------+-----------------+---------------+----------------------------+----------+---------------------------------------------------------------+----------------------------+-----------------|
|  0 |          0 |         -1 |          6 |                3 |                  6 | 0.435593 | 0.0046888  | [['10_PAY_0', 1.0], ['11_PAY_2', 0.31559354066848755], ['17_PAY_AMT2', 0.18982413411140442]]                                                                                                     | [['PAY_0', 0.31352764146170203], ['PAY_2', 0.09894729846633864], ['PAY_AMT2', 0.059515113060458445]]    |         0.850533 |                23 |             22 |    100000000 |       22 |             0 |       100000000 |          22 | LIGHTGBM     | NoneType                  | lightgbm  |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |          10 | 1.0               | 1.0                 | gbdt            |                      10 | binary:logistic | logloss       | False                      | True     | DefaultIndiv: do_te:False,interp:11,depth:10,num_as_cat:False |                            |                 |
|  1 |          0 |          1 |          6 |                3 |                  6 | 0.432394 | 0.00543695 | [['10_PAY_0', 1.0], ['11_PAY_2', 0.2917199432849884], ['8_LIMIT_BAL', 0.1196671798825264]]                                                                                                       | [['PAY_0', 0.41374491806685815], ['PAY_2', 0.12069764403291602], ['LIMIT_BAL', 0.04951168753578786]]    |         1.90511  |                48 |             22 |    100000000 |       22 |             0 |       100000000 |          22 | LIGHTGBM     | NoneType                  | lightgbm  |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |           6 | 1.0               | 1.0                 | gbdt            |                      10 | binary:logistic | logloss       | False                      | True     | DefaultIndiv: do_te:False,interp:11,depth:6,num_as_cat:False  |                            |                 |
|  2 |          0 |          9 |          6 |                3 |                  6 | 0.431928 | 0.00631871 | [['10_PAY_0', 1.0], ['8_LIMIT_BAL', 0.12849579751491547], ['17_PAY_AMT2', 0.1250321865081787]]                                                                                                   | [['PAY_0', 0.4042402943560678], ['LIMIT_BAL', 0.05194317901094711], ['PAY_AMT2', 0.050543047878048926]] |         1.09052  |                44 |             22 |        22488 |       22 |             0 |           22488 |          22 | XGBOOSTGBM   | NoneType                  | gbtree    |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |           6 |                   |                     |                 |                      10 | binary:logistic | logloss       | False                      | True     | RANDOM                                                        | 0.0001                     | 0.0             |
|  3 |          0 |         10 |          6 |                3 |                  6 | 0.434029 | 0.00721764 | [['48_NumToCatWoE:PAY_0:PAY_4:PAY_AMT1.0', 1.0], ['32_CVTE:PAY_0:PAY_4:PAY_5.0', 0.20614834129810333], ['8_LIMIT_BAL', 0.07906757295131683]]                                                     | [['PAY_0', 0.2838728452274818], ['PAY_4', 0.22612272257864469], ['PAY_AMT1', 0.1773341414671706]]       |         0.555325 |                30 |             44 |    100000000 |       41 |            13 |       100000000 |          45 | LIGHTGBM     | NoneType                  | lightgbm  |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |           6 | 1                 | 1                   | gbdt            |                      10 | binary:logistic | logloss       | False                      | True     | RANDOM                                                        |                            |                 |
|  4 |          0 |         11 |          6 |                3 |                  6 | 0.434532 | 0.00593427 | [['52_WoE:PAY_0:PAY_5.0', 1.0], ['38_CVTE:PAY_0:PAY_3.0', 0.44627320766448975], ['8_LIMIT_BAL', 0.07979943603277206]]                                                                            | [['PAY_0', 0.33472883624601635], ['PAY_5', 0.2030572675225677], ['PAY_3', 0.09717522872623661]]         |         0.542586 |                31 |             44 |    100000000 |       42 |            12 |       100000000 |          48 | LIGHTGBM     | NoneType                  | lightgbm  |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |           6 | 1                 | 1                   | gbdt            |                      10 | binary:logistic | logloss       | False                      | True     | RANDOM                                                        |                            |                 |
|  5 |          0 |         12 |          6 |                3 |                  6 | 0.432834 | 0.00607743 | [['27_ClusterTE:ClusterID43:PAY_0:PAY_2:PAY_3:PAY_AMT2.0', 1.0], ['10_PAY_0', 0.6901562213897705], ['32_NumToCatWoE:LIMIT_BAL:PAY_6.0', 0.10973173379898071]]                                    | [['PAY_0', 0.2722184254750624], ['PAY_AMT2', 0.17037925616183036], ['PAY_2', 0.16511845064023556]]      |         0.569158 |                29 |             44 |    100000000 |       36 |             3 |       100000000 |          36 | LIGHTGBM     | NoneType                  | lightgbm  |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |           6 | 1                 | 1                   | gbdt            |                      10 | binary:logistic | logloss       | False                      | True     | RANDOM                                                        |                            |                 |
|  6 |          0 |         13 |          6 |                3 |                  6 | 0.435331 | 0.00614817 | [['10_PAY_0', 1.0], ['49_NumToCatWoE:BILL_AMT1:PAY_0:PAY_AMT3.0', 0.9659671783447266], ['52_ClusterTE:ClusterID30:BILL_AMT2:PAY_0:PAY_4:PAY_AMT3.0', 0.47781994938850403]]                       | [['PAY_0', 0.278701628465091], ['PAY_AMT3', 0.12369029403324851], ['BILL_AMT1', 0.10028916260812541]]   |         1.09879  |                40 |             44 |        22488 |       43 |            10 |           22488 |          45 | XGBOOSTGBM   | NoneType                  | gbtree    |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |           6 |                   |                     |                 |                      10 | binary:logistic | logloss       | False                      | True     | RANDOM                                                        | 0.0001                     | 0               |
|  7 |          0 |         14 |          6 |                3 |                  6 | 0.43397  | 0.00567471 | [['10_PAY_0', 1.0], ['31_ClusterTE:ClusterID60:BILL_AMT3:PAY_0:PAY_AMT1:PAY_AMT5.0', 0.41621851921081543], ['29_NumToCatTE:PAY_0:PAY_2:PAY_6:PAY_AMT3.0', 0.2521657645702362]]                   | [['PAY_0', 0.30624667483192275], ['PAY_AMT5', 0.08575158912520278], ['BILL_AMT3', 0.06650946100189635]] |         1.09356  |                51 |             44 |        22488 |       41 |             2 |           22488 |          41 | XGBOOSTGBM   | NoneType                  | gbtree    |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |           6 |                   |                     |                 |                      10 | binary:logistic | logloss       | False                      | True     | RANDOM                                                        | 0.0001                     | 0               |
|  8 |          0 |         15 |          6 |                3 |                  6 | 0.433032 | 0.00565128 | [['30_ClusterTE:ClusterID61:EDUCATION:PAY_0:PAY_AMT2.0', 1.0], ['10_PAY_0', 0.33615410327911377], ['24_NumToCatWoE:PAY_0.0', 0.3037395775318146]]                                                | [['PAY_0', 0.25447025306474547], ['PAY_AMT2', 0.14561068624908255], ['EDUCATION', 0.12135267815498277]] |         1.02447  |                38 |             44 |        22488 |       38 |             1 |           22488 |          38 | XGBOOSTGBM   | NoneType                  | gbtree    |        1 |        0 |       32 |            600 |             2 |           1 | LOGLOSS        |       43992824 |             0.1 |           0 |            1 |       0 |       256 |                  1 |                0 |                  1 |         0.7 |                0.8 | gpu_hist      | depthwise     |            0 |           6 |                   |                     |                 |                      10 | binary:logistic | logloss       | False                      | True     | RANDOM                                                        | 0.0001                     | 0               |
